encoder,classifier,n_runs,roc_auc_1,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_5%,roc_auc_10%,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_90%,roc_auc_95%,roc_auc_max,encoder_n_iter_1,encoder_n_iter_mean,encoder_n_iter_std,encoder_n_iter_min,encoder_n_iter_5%,encoder_n_iter_10%,encoder_n_iter_25%,encoder_n_iter_50%,encoder_n_iter_75%,encoder_n_iter_90%,encoder_n_iter_95%,encoder_n_iter_max,fit_time_1,fit_time_mean,fit_time_std,fit_time_min,fit_time_5%,fit_time_10%,fit_time_25%,fit_time_50%,fit_time_75%,fit_time_90%,fit_time_95%,fit_time_max,encoder_params_1
target_regressor,logistic_regression,1,0.5793929936673851,0.5793929936673851,,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,0.5793929936673851,,,,,,,,,,,,,0.16997194290161133,0.16997194290161133,,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,0.16997194290161133,
james_stein,logistic_regression,1,0.5379502803028426,0.5379502803028426,,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,0.5379502803028426,,,,,,,,,,,,,0.23357129096984863,0.23357129096984863,,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,0.23357129096984863,
spectral_cv,logistic_regression,1,0.5622445693904342,0.5622445693904342,,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,0.5622445693904342,17.307692307692307,17.307692307692307,,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,17.307692307692307,4.1194539070129395,4.1194539070129395,,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,4.1194539070129395,"{'mu_prior': 0.1, 'nu_prior': 100.0}"
target_cv,logistic_regression,1,0.5645728580982341,0.5645728580982341,,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,0.5645728580982341,,,,,,,,,,,,,11.712815761566162,11.712815761566162,,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,11.712815761566162,{'smoothing': 100.0}
drop,logistic_regression,1,0.5141843971631206,0.5141843971631206,,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,0.5141843971631206,,,,,,,,,,,,,0.017349958419799805,0.017349958419799805,,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,0.017349958419799805,
spectral,random_forest,1,0.8038003946531923,0.8038003946531923,,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,0.8038003946531923,,,,,,,,,,,,,0.7238609790802002,0.7238609790802002,,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,0.7238609790802002,
hbbm_mle,random_forest,1,0.7990901510085122,0.7990901510085122,,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,0.7990901510085122,,,,,,,,,,,,,16.044027090072632,16.044027090072632,,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,16.044027090072632,
glmm,random_forest,1,0.7949619795407822,0.7949619795407822,,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,0.7949619795407822,,,,,,,,,,,,,9.450584650039673,9.450584650039673,,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,9.450584650039673,
target,random_forest,1,0.8274589453347534,0.8274589453347534,,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,0.8274589453347534,,,,,,,,,,,,,1.0003690719604492,1.0003690719604492,,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,1.0003690719604492,
target_regressor,random_forest,1,0.7979260066546123,0.7979260066546123,,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,0.7979260066546123,,,,,,,,,,,,,0.842303991317749,0.842303991317749,,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,0.842303991317749,
james_stein,random_forest,1,0.8121104038177328,0.8121104038177328,,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,0.8121104038177328,,,,,,,,,,,,,0.8693711757659912,0.8693711757659912,,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,0.8693711757659912,
spectral_cv,random_forest,1,0.7996722231854622,0.7996722231854622,,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,0.7996722231854622,21.692307692307693,21.692307692307693,,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,21.692307692307693,38.05760979652405,38.05760979652405,,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,38.05760979652405,"{'mu_prior': 0.5, 'nu_prior': 100.0}"
